CustomerID,Recency,Frequency,Monetary,Cluster,Segment
12346.0,326.0,1.0,3691.7699999999995,1,À risque
12347.0,2.0,7.0,3691.7699999999995,3,Premium
12348.0,75.0,4.0,1797.24,0,Fidèle
12349.0,19.0,1.0,1757.55,2,Occasionnel
12350.0,310.0,1.0,334.4,1,À risque
12352.0,36.0,8.0,2506.04,3,Premium
12353.0,204.0,1.0,89.0,1,À risque
12354.0,232.0,1.0,1079.4,1,À risque
12355.0,214.0,1.0,459.4,1,À risque
12356.0,23.0,3.0,2811.43,0,Fidèle
12357.0,33.0,1.0,3691.7699999999995,0,Fidèle
12358.0,2.0,2.0,1168.06,2,Occasionnel
12359.0,58.0,4.0,3691.7699999999995,0,Fidèle
12360.0,52.0,3.0,2662.06,0,Fidèle
12361.0,287.0,1.0,189.9,1,À risque
12362.0,3.0,10.0,3691.7699999999995,3,Premium
12363.0,110.0,2.0,552.0,2,Occasionnel
12364.0,8.0,4.0,1313.1,0,Fidèle
12365.0,291.0,2.0,641.38,1,À risque
12367.0,4.0,1.0,168.9,2,Occasionnel
12370.0,51.0,4.0,3541.94,0,Fidèle
12371.0,45.0,2.0,1887.96,0,Fidèle
12372.0,72.0,3.0,1298.04,2,Occasionnel
12373.0,311.0,1.0,364.6,1,À risque
12374.0,25.0,1.0,742.9300000000001,2,Occasionnel
12375.0,11.0,2.0,457.5,2,Occasionnel
12377.0,315.0,2.0,1628.12,1,À risque
12378.0,130.0,1.0,3691.7699999999995,0,Fidèle
12379.0,82.0,2.0,852.24,2,Occasionnel
12380.0,22.0,4.0,2724.81,0,Fidèle
12381.0,5.0,5.0,1845.31,0,Fidèle
12383.0,185.0,5.0,1850.56,0,Fidèle
12384.0,29.0,2.0,585.27,2,Occasionnel
12386.0,328.0,2.0,401.9,1,À risque
12388.0,16.0,6.0,2780.66,0,Fidèle
12390.0,80.0,1.0,549.84,2,Occasionnel
12391.0,22.0,1.0,439.66,2,Occasionnel
12393.0,72.0,4.0,1582.6000000000001,0,Fidèle
12394.0,64.0,2.0,1272.48,2,Occasionnel
12395.0,19.0,11.0,3018.63,3,Premium
12397.0,36.0,2.0,2409.9,0,Fidèle
12398.0,46.0,1.0,1635.6599999999999,2,Occasionnel
12399.0,119.0,4.0,1108.65,2,Occasionnel
12401.0,303.0,1.0,84.3,1,À risque
12402.0,323.0,1.0,225.6,1,À risque
12403.0,50.0,1.0,427.7,2,Occasionnel
12405.0,149.0,1.0,1710.39,2,Occasionnel
12406.0,22.0,2.0,3415.3,0,Fidèle
12407.0,50.0,5.0,1708.1200000000001,0,Fidèle
12408.0,33.0,5.0,2888.55,0,Fidèle
12409.0,79.0,3.0,3691.7699999999995,0,Fidèle
12410.0,309.0,2.0,693.3299999999999,1,À risque
12412.0,75.0,3.0,1226.88,2,Occasionnel
12413.0,67.0,3.0,758.1,2,Occasionnel
12414.0,217.0,3.0,562.41,1,À risque
12415.0,24.0,11.0,3691.7699999999995,3,Premium
12417.0,3.0,9.0,3649.1,3,Premium
12418.0,113.0,1.0,668.58,2,Occasionnel
12420.0,64.0,1.0,600.39,2,Occasionnel
12421.0,16.0,4.0,807.04,2,Occasionnel
